2021-05-02,Ticker,Company,Industry,Market Cap,
,AMC,AMC Entertainment Holdings Inc.,Entertainment,4.59B,-
,BEEM,Beam Global,Solar,301.61M,-
,BLNK,Blink Charging Co.,Specialty Retail,1.60B,-
,CLOV,Clover Health Investments,Healthcare Plans,4.13B,-
,ESPR,Esperion Therapeutics Inc.,Biotechnology,768.88M,-
,ETWO,E2open Parent Holdings Inc.,Software - Infrastructure,2.58B,-
,GDRX,GoodRx Holdings Inc.,Health Information Services,15.89B,-
,GOGO,Gogo Inc.,Telecom Services,1.14B,-
,OSCR,Oscar Health Inc.,Healthcare Plans,3.82B,-
,OTRK,Ontrak Inc.,Medical Care Facilities,577.73M,-
,PUBM,PubMatic Inc.,Software - Application,2.66B,-
,ROOT,Root Inc.,Insurance - Property & Casualty,2.73B,-
,SENS,Senseonics Holdings Inc.,Diagnostics & Research,907.19M,-
,WKHS,Workhorse Group Inc.,Auto Manufacturers,1.60B,-
,WOOF,Petco Health and Wellness Company Inc.,Specialty Retail,5.61B,-
,,,,,
Added To List,,,,,
,BFLY,Butterfly Network Inc.,Medical Devices,2.74B,Added
,FUV,Arcimoto Inc.,Recreational Vehicles,373.74M,Added
,GEO,The GEO Group Inc.,REIT - Healthcare Facilities,688.42M,Added
,GOEV,Canoo Inc.,Auto Manufacturers,2.16B,Added
,NKLA,Nikola Corporation,Auto Manufacturers,4.66B,Added
,POSH,Poshmark Inc.,Internet Retail,3.24B,Added
,SKLZ,Skillz Inc.,Electronic Gaming & Multimedia,7.10B,Added
,TTCF,Tattooed Chef Inc.,Packaged Foods,1.43B,Added
,,,,,
Dropped From List,,,,,
,CHPT,ChargePoint Holdings.,Specialty Retail,6.51B,Dropped
,FIZZ,National Beverage Corp.,Beverages - Non-Alcoholic,4.97B,Dropped
,FREQ,Frequency Therapeutics.,Biotechnology,345.88M,Dropped
,KOSS,Koss Corporation,Consumer Electronics,146.08M,Dropped
,PCT,PureCycle Technologies.,Pollution & Treatment Controls,3.06B,Dropped
