2021-06-12,Ticker,Company,Industry,Market Cap,
,AGC,Altimeter Growth Corp.,Financial,728.82M,-
,AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,2.32B, Added
,BBBY,Bed Bath & Beyond Inc.,Consumer Cyclical,3.36B,-
,BEEM,Beam Global,Technology,299.11M, Added
,BLNK,Blink Charging Co.,Consumer Cyclical,1.62B,-
,CHK,Chesapeake Energy Corporation,Energy,5.47B, Added
,CLOV,Clover Health Investments Corp.,Healthcare,5.85B,-
,FIZZ,National Beverage Corp.,Consumer Defensive,4.55B, Added
,FUV,Arcimoto Inc.,Consumer Cyclical,493.35M,-
,GEO,The GEO Group Inc.,Real Estate,862.77M,-
,NKLA,Nikola Corporation,Consumer Cyclical,6.62B,-
,OTRK,Ontrak Inc.,Healthcare,568.44M,-
,PETS,PetMed Express Inc.,Healthcare,663.95M, Added
,PUBM,PubMatic Inc.,Technology,237.18M, Added
,RIDE,Lordstown Motors Corp.,Consumer Cyclical,1.87B,-
,ROOT,Root Inc.,Financial,3.04B,-
,SDC,SmileDirectClub Inc.,Healthcare,3.77B,-
,TDUP,ThredUp Inc.,Consumer Cyclical,413.96M, Added
,TTCF,Tattooed Chef Inc.,Consumer Defensive,1.82B,-
,WKHS,Workhorse Group Inc.,Consumer Cyclical,1.86B,-
,WOOF,Petco Health and Wellness Company Inc.,Consumer Cyclical,5.29B,-
Added To List,,,,,
,AVAH,Aveanna Healthcare Holdings Inc.,Healthcare,2.32B, Added
,BEEM,Beam Global,Technology,299.11M, Added
,CHK,Chesapeake Energy Corporation,Energy,5.47B, Added
,FIZZ,National Beverage Corp.,Consumer Defensive,4.55B, Added
,PETS,PetMed Express Inc.,Healthcare,663.95M, Added
,PUBM,PubMatic Inc.,Technology,237.18M, Added
,TDUP,ThredUp Inc.,Consumer Cyclical,413.96M, Added
Dropped From List,,,,,
,REV,Revlon Inc.,Consumer Defensive,847.16M,Dropped
,SOFI,SoFi Technologies Inc. Common Stock,Financial,2.33B,Dropped 
